# 
4604.988      28.0     3.477     -0.24                     
4609.265      22.1     1.179     -3.32                     
3794.77	La II0.24	+0.21
3988.51	La II0.40	+0.21
3995.74	La II0.17	-0.06	
4086.71	La II0.00	-0.07	
4123.22	La II0.32	+0.13	
3724.93	Eu II0.00	-0.09	
3907.11	Eu II0.21	+0.17	
3930.50	Eu II0.21	+0.27	
3971.97	Eu II0.21	+0.27	
4129.72	Eu II0.00	+0.22	
4205.04	Eu II0.00	+0.21	
4435.58	Eu II0.21	-0.11	
3230.58	Er II0.06	+0.24	
3312.43	Er II0.06	-0.03	
3729.52	Er II0.00	-0.59	
3830.48	Er II0.00	-0.22	
3896.23	Er II0.06	-0.12	
3906.31	Er II0.00	+0.12	
3193.53	Hf II0.38	-0.89	
3505.22	Hf II1.04	-0.14	
3918.09	Hf II0.45	-1.14	
4093.15	Hf II0.45	-1.15	
3513.65	Ir I0.00	-1.21	
3800.12	Ir I0.00	-1.44	
2833.03	Pb I0.00	-0.50	
3683.46	Pb I0.97	-0.54	
4057.81	Pb I1.32	-0.22	
3539.59	Th I0.00	-0.54	
4019.13	Th II0.00	-0.23	
4086.52	Th II0.00	-0.93	
4094.75 Th II-1.00	-0.88	
